processor-vendor,processor-brand,processor-type,os,earliest-version-with-ilmt-support
IBM,POWER3,Single-core,AIX,9.0.0.0
IBM,POWER3,Single-core,Linux,9.0.1.2
IBM,POWER4,Dual-core,AIX,9.0.0.0
IBM,POWER4,Dual-core,Linux,9.0.1.2
IBM,POWER4,Dual-core,IBM i,9.2.5
IBM,POWER5 QCM,Quad-core,AIX,9.0.0.0
IBM,POWER5 QCM,Quad-core,Linux,9.0.1.2
IBM,POWER5,Dual-core,AIX,9.0.0.0
IBM,POWER5,Dual-core,Linux,9.0.1.2
IBM,POWER5,Dual-core,IBM i,9.2.5
IBM,POWER6,Dual-core,AIX,9.0.0.0
IBM,POWER6,Dual-core,Linux,9.0.1.2
IBM,POWER6,Dual-core,IBM i,9.2.5
IBM,POWER7,Multi-core,AIX,9.0.0.0
IBM,POWER7,Multi-core,Linux,9.0.1.2
IBM,POWER7,Multi-core,IBM i,9.2.5
IBM,POWER7+,Multi-core,AIX,9.0.0.0
IBM,POWER7+,Multi-core,Linux,9.0.1.2
IBM,POWER7+,Multi-core,IBM i,9.2.5
IBM,POWER8,Multi-core,AIX,9.0.1.2
IBM,POWER8,Multi-core,Linux,9.0.1.2
IBM,POWER8,Multi-core,IBM i,9.2.5
IBM,POWER9,Multi-core,AIX,9.2.11
IBM,POWER9,Multi-core,Linux,9.2.11
IBM,POWER9,Multi-core,IBM i,9.2.11
IBM,POWER10,Multi-core,AIX,9.2.26
IBM,POWER10,Multi-core,Linux,9.2.26
IBM,POWER10,Multi-core,IBM i,9.2.26
IBM,System z - All IFL or CP engines,Multi-core,Linux,9.0.0.0
IBM,System z - All zIIP or CP engines,Multi-core,zCX,9.2.18
Intel,Xeon - All Processor Numbers,Single and Multi Core,Windows,9.0.0.0
Intel,Xeon - All Processor Numbers,Single and Multi Core,Linux,9.0.0.0
Intel,Xeon - All Processor Numbers,Single and Multi Core,Solaris,9.0.0.0
Intel,Pentium - All Processor Numbers,Single and Multi Core,Windows,9.0.0.0
Intel,Pentium - All Processor Numbers,Single and Multi Core,Linux,9.0.0.0
Intel,Pentium - All Processor Numbers,Single and Multi Core,Solaris,9.0.0.0
Intel,Core - All Processor Numbers,Single and Multi Core,Windows,9.0.0.0
Intel,Core - All Processor Numbers,Single and Multi Core,Linux,9.0.0.0
Intel,Core - All Processor Numbers,Single and Multi Core,Solaris,9.0.0.0
AMD,Opteron,Multi-core,Windows,9.0.0.0
AMD,Opteron,Multi-core,Linux,9.0.0.0
AMD,Opteron,Multi-core,Solaris,9.0.0.0
AMD,Opteron 6000 series,Multi-core,Windows,9.0.0.0
AMD,Opteron 6000 series,Multi-core,Linux,9.0.0.0
AMD,Opteron 6000 series,Multi-core,Solaris,9.0.0.0
AMD,Epyc,Multi-core,Windows,9.2.18
AMD,Epyc,Multi-core,Linux,9.2.18
AMD,Epyc,Multi-core,Solaris,9.2.18
Oracle,UltraSPARC III,Single-core,Solaris,9.0.0.0
Oracle,UltraSPARC IV,Dual-core,Solaris,9.0.0.0
Oracle,UltraSPARC T1 (Niagara 1),Multi-core,Solaris,9.0.0.0
Oracle,UltraSPARC T2 (Niagara 2),Multi-core,Solaris,9.0.0.0
Oracle,UltraSPARC T3 (Niagara 3),Octi-core / 16-core,Solaris,9.0.0.0
Oracle,SPARC T4,Octi-core,Solaris,9.0.0.0
Oracle,SPARC T5,16-core,Solaris,9.0.0.0
Oracle,SPARC M5,6 core,Solaris,9.2.11
Oracle,SPARC M6,12 core,Solaris,9.2.11
Oracle,SPARC M7,32-core,Solaris,9.2.6
Oracle,SPARC M8,32-core,Solaris,9.2.15
Oracle,SPARC S7,8-core,Solaris,9.2.6
Fujitsu,SPARC64 V,Single-core,Solaris,9.0.0.0
Fujitsu,SPARC64 VI,Dual-core,Solaris,9.0.0.0
Fujitsu,SPARC64 VII,Quad-core,Solaris,9.0.0.0
Fujitsu,SPARC64 X/X+,16 cores,Solaris,9.0.0.0
Fujitsu,SPARC64 XII,Multi-core,Solaris,9.2.13
HP / Intel (Itanium),PA-RISC,Single-core / Dual-core,HP-UX,9.0.0.0
HP / Intel (Itanium),Itanium 1,Single-core,HP-UX,9.0.0.0
HP / Intel (Itanium),Itanium 2,Dual-core,HP-UX,9.0.0.0
HP / Intel (Itanium),Itanium (Processor 9300 series),Quad-core,HP-UX,9.0.0.0
HP / Intel (Itanium),Itanium (Processor 9500 series),Octi-core,HP-UX,9.0.0.0
